,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.00,0.00,0.00,-91.31,1.75,118.81,-9.43,-0.67,2.40,0.01,0.61,-0.07,0.79,280787
1,0.00,0.00,0.00,-91.31,1.75,118.81,-9.43,-0.67,2.40,0.01,0.61,-0.07,0.79,280827
2,0.00,0.00,0.00,-91.31,1.75,118.81,-9.43,-0.71,2.40,0.01,0.61,-0.07,0.79,280865
3,0.00,0.00,0.00,-91.31,1.75,118.81,-9.43,-0.71,2.40,0.01,0.61,-0.07,0.79,280906
4,0.00,0.00,0.00,-91.31,1.75,118.81,-9.39,-0.71,2.40,0.01,0.61,-0.07,0.79,280947
5,0.00,0.00,0.00,-91.31,1.75,118.81,-9.39,-0.71,2.40,0.01,0.61,-0.07,0.79,280987
6,0.00,0.00,0.00,-91.31,1.75,118.81,-9.39,-0.71,2.44,0.01,0.61,-0.07,0.79,281027
7,0.00,0.00,0.00,-91.31,1.75,118.81,-9.43,-0.71,2.44,0.01,0.61,-0.07,0.79,281065
8,0.00,0.00,0.00,-91.31,1.75,118.81,-9.43,-0.71,2.44,0.01,0.61,-0.07,0.79,281106
9,0.00,0.00,0.00,-91.31,1.75,118.81,-9.43,-0.71,2.44,0.01,0.61,-0.07,0.79,281147
10,0.00,0.00,0.00,-91.31,1.75,118.81,-9.43,-0.71,2.40,0.01,0.61,-0.07,0.79,281187
11,0.00,0.00,0.00,-91.31,1.75,118.81,-9.43,-0.67,2.40,0.01,0.61,-0.07,0.79,281226
12,0.00,0.00,0.00,-91.31,1.75,118.81,-9.39,-0.67,2.44,0.01,0.61,-0.07,0.79,281265
13,0.00,0.00,0.00,-91.31,1.75,118.81,-9.39,-0.67,2.44,0.01,0.61,-0.07,0.79,281306
14,0.00,-0.00,0.00,-91.31,1.75,118.81,-9.39,-0.67,2.44,0.01,0.61,-0.07,0.79,281346
15,0.00,-0.00,0.00,-91.31,1.75,118.81,-9.43,-0.67,2.44,0.01,0.61,-0.07,0.79,281387
16,0.00,-0.00,0.00,-91.31,1.75,118.81,-9.39,-0.67,2.40,0.01,0.61,-0.07,0.79,281427
17,0.00,-0.00,0.00,-91.31,1.75,118.81,-9.43,-0.67,2.44,0.01,0.61,-0.07,0.79,281466
18,0.00,0.00,-0.00,-91.31,1.75,118.81,-9.43,-0.67,2.44,0.01,0.61,-0.07,0.79,281506
