,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-1.69,0.62,-1.49,-5.50,30.87,24.25,6.68,7.64,2.00,0.12,-0.33,-0.62,0.70,1984948,15:19:04.889538
1,-1.69,0.62,-1.49,-5.50,30.87,24.25,6.41,6.83,2.16,0.12,-0.33,-0.62,0.70,1985021,15:19:04.959771
2,-1.69,0.62,-1.49,-5.50,30.87,24.25,4.96,7.30,2.32,0.12,-0.33,-0.62,0.70,1985082,15:19:05.030815
3,-1.69,0.62,-1.49,-5.50,30.87,24.25,6.45,7.14,2.39,0.12,-0.33,-0.62,0.70,1985468,15:19:05.405131
4,-1.69,0.62,-1.49,-5.50,30.87,24.25,5.07,7.53,2.20,0.12,-0.33,-0.62,0.70,1985548,15:19:05.488458
5,-0.13,-0.16,0.00,-5.50,30.87,24.25,5.07,7.53,2.20,0.12,-0.33,-0.62,0.70,1985585,15:19:05.530299
6,-0.13,-0.16,0.00,-5.50,30.87,24.25,5.69,7.61,2.43,0.12,-0.33,-0.62,0.70,1985615,15:19:05.563411
7,-0.13,-0.16,0.00,-5.50,30.87,24.25,5.77,7.64,2.51,0.12,-0.33,-0.62,0.70,1985647,15:19:05.596175
8,-0.13,-0.16,0.00,-5.50,30.87,24.25,5.99,7.68,2.39,0.12,-0.33,-0.62,0.70,1985679,15:19:05.628553
9,-0.13,-0.16,0.00,-5.50,30.87,24.25,5.80,7.68,2.16,0.12,-0.33,-0.62,0.70,1985704,15:19:05.652459
10,-0.15,0.01,-0.02,-5.50,30.87,24.25,5.80,7.68,2.16,0.12,-0.33,-0.62,0.70,1985733,15:19:05.677757
11,-0.15,0.01,-0.02,-5.50,30.87,24.25,5.88,7.41,2.01,0.12,-0.33,-0.62,0.70,1985795,15:19:05.740209
12,-0.15,0.01,-0.02,12.63,7.62,22.31,5.88,7.41,2.01,0.12,-0.33,-0.62,0.70,1985828,15:19:05.775082
13,-0.15,0.01,-0.02,12.63,7.62,22.31,5.77,7.49,2.28,0.12,-0.33,-0.62,0.70,1986206,15:19:06.154681
14,0.18,0.14,-0.03,12.63,7.62,22.31,5.77,7.49,2.28,0.12,-0.33,-0.62,0.70,1986250,15:19:06.189046
15,0.18,0.14,-0.03,12.63,7.62,22.31,5.80,7.45,2.01,0.12,-0.33,-0.62,0.70,1986377,15:19:06.322480
16,0.18,0.14,-0.03,12.63,7.62,22.31,5.69,7.49,2.28,0.12,-0.33,-0.62,0.70,1986445,15:19:06.392747
17,0.07,0.06,0.01,12.63,7.62,22.31,5.69,7.49,2.28,0.12,-0.33,-0.62,0.70,1986481,15:19:06.428310
18,0.07,0.06,0.01,12.63,7.62,22.31,5.96,7.53,2.58,0.12,-0.33,-0.62,0.70,1986558,15:19:06.504546
19,-0.04,0.04,0.04,12.63,7.62,22.31,5.96,7.53,2.58,0.12,-0.33,-0.62,0.70,1986591,15:19:06.537366
20,-0.04,0.04,0.04,12.63,7.62,22.31,5.73,7.37,2.47,0.12,-0.33,-0.62,0.70,1986619,15:19:06.561240
21,-0.04,0.04,0.04,12.63,7.62,22.31,5.65,7.41,2.47,0.12,-0.33,-0.62,0.70,1986660,15:19:06.606427
22,0.03,-0.05,-0.05,12.63,7.62,22.31,5.65,7.41,2.47,0.12,-0.33,-0.62,0.70,1986694,15:19:06.646978
23,0.03,-0.05,-0.05,12.63,7.62,22.31,5.80,7.37,2.51,0.12,-0.33,-0.62,0.70,1986754,15:19:06.701676
24,0.03,-0.05,-0.05,12.63,7.62,22.31,5.73,7.37,2.58,0.12,-0.33,-0.62,0.70,1986863,15:19:06.796009
25,0.03,-0.05,-0.05,12.63,7.62,22.31,5.77,7.64,2.81,0.12,-0.33,-0.62,0.70,1986906,15:19:06.844308
26,0.03,-0.05,-0.05,12.63,7.62,22.31,4.20,8.14,4.50,0.12,-0.33,-0.62,0.70,1986940,15:19:06.888337
27,0.03,-0.05,-0.05,12.63,7.62,22.31,4.50,8.87,4.80,0.12,-0.33,-0.62,0.70,1986971,15:19:06.916745
28,0.03,-0.05,-0.05,12.63,7.62,22.31,3.62,9.67,6.26,0.12,-0.33,-0.62,0.70,1987001,15:19:06.946829
29,-0.99,0.07,-0.61,12.63,7.62,22.31,3.62,9.67,6.26,0.12,-0.33,-0.62,0.70,1987034,15:19:06.979715
30,-0.99,0.07,-0.61,12.63,7.62,22.31,2.81,8.91,6.41,0.12,-0.33,-0.62,0.70,1987077,15:19:07.016037
31,-1.32,-0.32,-0.62,12.63,7.62,22.31,2.81,8.91,6.41,0.12,-0.33,-0.62,0.70,1987113,15:19:07.063011
