,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgd,Ygd,Zgd,Xad,Yad,Zad,Xgdd,Ygdd,Zgdd,Xadd,Yadd,Zadd
0,0.0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.11,-0.03,-0.71,0.01,0.67,0.24,571106,5366,W,1.287070811,-1.871445791,2.775360453,2.785152443,2.813852768,1.920760617,0.0,0.0,0.0,0.0,-0.0009523809523809532,0.0,1.7421602787456446e-05,0.0,-5.807200929152148e-06,0.0,2.2675736961451268e-05,0.0
1,0.0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571148,5408,W,1.017071676,-2.123708668,2.720523745,2.786677488,2.806925498,1.327100694,0.0007317073170731707,0.0,-0.00024390243902439022,0.0,0.0,0.0,-1.784651992861392e-05,0.0,5.94883997620464e-06,0.0,-2.3795359904818582e-05,0.0
2,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571189,5449,W,0.732386683,-1.076979904,2.549350369,2.789472891,2.798806143,0.770739767,0.0,0.0,0.0,0.0,-0.0009756097560975618,0.0,0.0,0.0,0.0,1.7421602787456077e-05,4.70241636214272e-05,0.00011033681765389082
3,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.19,-0.03,-0.71,0.01,0.67,0.24,571230,5490,W,0.433617013,-0.211350871,2.304480094,2.793450206,2.792911891,0.243278175,0.0,0.0,0.0,0.0007142857142856991,0.0009523809523809532,0.004523809523809524,0.0,0.0,0.0,-1.7006802721088072e-05,-2.2675736961451268e-05,-0.00013151927437641723
4,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.16,-0.71,0.01,0.67,0.24,571272,5532,W,0.122925149,-0.518569268,2.009411458,2.79775737,2.7912674,-0.263448428,0.0,0.0,0.0,0.0,0.0,-0.0010000000000000002,3.048780487804878e-05,1.2195121951219511e-05,1.2195121951219511e-05,0.0,0.0,2.5000000000000005e-05
5,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571312,5572,W,-0.197266388,-0.912883697,1.67519185,2.801140707,2.793844876,-0.752704564,0.0012195121951219512,0.00048780487804878043,0.00048780487804878043,0.0,0.0,0.0,-2.97441998810232e-05,-1.189767995240928e-05,-1.189767995240928e-05,-6.387921022067331e-05,0.0,-8.710801393728223e-05
6,0.08,0.03,-0.01,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571353,5613,W,-0.52402601,-1.345084533,1.301635733,2.802222368,2.799446962,-1.218843246,0.0,0.0,0.0,-0.0026190476190476055,0.0,-0.0035714285714285713,-2.834467120181406e-05,-2.2675736961451248e-05,5.668934240362812e-06,6.235827664399061e-05,0.0,8.503401360544217e-05
7,0.08,0.03,-0.01,8.69,-108.94,-17.44,-9.24,-3.15,-0.03,-0.71,0.01,0.67,0.24,571395,5655,W,-0.85392681,-1.807742911,0.872901608,2.80009955,2.806472997,-1.649473104,-0.0011904761904761906,-0.0009523809523809524,0.0002380952380952381,0.0,0.0,0.0,2.834467120181406e-05,2.2675736961451248e-05,-5.668934240362812e-06,2.2675736961451773e-05,-2.2675736961451268e-05,3.968253968253968e-05
8,0.03,-0.01,0.0,8.69,-108.94,-17.44,-9.24,-3.15,-0.03,-0.71,0.01,0.67,0.24,571437,5697,W,-1.183063212,-2.298389717,0.339740273,2.794996056,2.812868235,-2.018634843,0.0,0.0,0.0,0.0009523809523809744,-0.0009523809523809532,0.0016666666666666668,0.0,0.0,0.0,-4.709576138147675e-05,2.2675736961451268e-05,-6.410256410256412e-05
9,0.03,-0.01,0.0,8.69,-108.94,-17.44,-9.2,-3.19,0.04,-0.71,0.01,0.67,0.24,571479,5739,W,-1.507819209,-2.842464616,-1.023382826,2.788727626,2.816018625,-2.272723612,0.0,0.0,0.0,-0.0010256410256410493,0.0,-0.0010256410256410256,0.0,0.0,0.0,2.6298487836949982e-05,0.0,2.6298487836949376e-05
10,0.03,-0.01,0.0,8.69,-108.94,-17.44,-9.24,-3.19,0.0,-0.71,0.01,0.67,0.24,571518,5778,W,-1.825274539,0.258431221,-2.826219662,2.784188345,2.813096908,-2.35270372,0.0,0.0,0.0,0.0,0.0,0.0,-2.3228803716608595e-05,5.807200929152149e-06,-5.807200929152149e-06,0.0,0.0,0.0
11,0.03,-0.01,0.0,16.63,-111.25,-31.94,-9.24,-3.19,0.0,-0.71,0.01,0.67,0.24,571559,5819,W,-2.163004564,-0.197460265,3.051490417,2.784327838,2.80272904,-2.405613908,-0.0009523809523809524,0.0002380952380952381,-0.0002380952380952381,0.0,0.0,0.0,2.2675736961451248e-05,-5.668934240362812e-06,5.668934240362812e-06,2.2675736961451773e-05,-2.2675736961451268e-05,-3.968253968253968e-05
12,-0.01,0.0,-0.01,16.63,-111.25,-31.94,-9.24,-3.19,0.0,-0.71,0.01,0.67,0.24,571601,5861,W,-2.59542526,-0.509804813,2.771495175,2.786976821,2.786688435,-2.687700085,0.0,0.0,0.0,0.0009523809523809744,-0.0009523809523809532,-0.0016666666666666668,0.0,0.0,0.0,1.5203050917335298e-05,1.0307153164296047e-06,6.132756132756133e-05
13,-0.01,0.0,-0.01,16.63,-111.25,-31.94,-9.2,-3.23,-0.07,-0.71,0.01,0.67,0.24,571643,5903,W,-3.125759986,-0.816146705,2.475963136,2.793044147,2.771710442,-3.121714593,0.0,0.0,0.0,0.001590909090909057,-0.0009090909090909098,0.0009090909090909093,0.0,0.0,0.0,-5.239079102715354e-05,4.2306178669815065e-05,-2.0661157024793393e-05
14,-0.01,0.0,-0.01,16.63,-111.25,-31.94,-9.13,-3.27,-0.03,-0.71,0.01,0.67,0.24,571687,5947,W,2.632236975,-1.12624125,2.163793104,2.829065046,2.729504262,2.5827444,0.0,0.0,0.0,-0.0007142857142856991,0.0009523809523809532,0.0,0.0,0.0,0.0,-2.7289985761746962e-05,2.1621051521383766e-05,1.6611295681063124e-05
15,-0.01,0.0,-0.01,16.63,-111.25,-31.94,-9.16,-3.23,-0.03,-0.71,0.01,0.67,0.24,571729,5989,W,2.132675904,-1.46358762,1.82335291,2.91781806,2.648217294,1.777188356,0.0,0.0,0.0,-0.0018604651162790714,0.0018604651162790714,0.0006976744186046512,0.0,0.0,0.0,-4.1815615560157926e-05,-2.057803163212813e-05,-7.861863367146381e-05
16,-0.01,0.0,-0.01,16.63,-111.25,-31.94,-9.24,-3.15,0.0,-0.71,0.01,0.67,0.24,571772,6032,W,1.627227728,-1.840000666,1.451511203,3.014882939,2.683334127,0.908500307,0.0,0.0,0.0,-0.003658536585365862,0.0009756097560975618,-0.002682926829268293,0.0,-0.0003193960511033682,0.00027874564459930314,8.92325996430698e-05,-2.3795359904818582e-05,6.543723973825105e-05
17,-0.01,0.0,-0.01,16.63,-111.25,-31.94,-9.39,-3.11,-0.11,-0.71,0.01,0.67,0.24,571813,6073,W,1.118613539,-2.246878555,1.050058841,3.040315087,-2.359559848,0.0982195,0.0,-0.013095238095238096,0.011428571428571429,0.0,0.0,0.0,0.0,0.00031179138321995464,-0.00027210884353741496,-8.658008658008665e-05,-2.1645021645021662e-05,0.0001461038961038961
18,-0.01,-0.55,0.47,16.63,-111.25,-31.94,-9.39,-3.11,-0.11,-0.71,0.01,0.67,0.24,571855,6115,W,0.614230303,-2.674697067,0.620466246,2.969801389,-1.916715444,-0.73134284,0.0,0.0,0.0,-0.0036363636363636394,-0.0009090909090909098,0.006136363636363637,0.0001298701298701299,-0.0005681818181818183,0.0011093073593073592,8.264462809917363e-05,2.0661157024793407e-05,-0.00013946280991735538
19,-0.01,-0.55,0.47,16.63,-111.25,-31.94,-9.55,-3.15,0.16,-0.71,0.01,0.67,0.24,571899,6159,W,0.110238298,-3.115826465,0.171574105,2.826460431,-2.108680708,-1.65996602,0.005714285714285715,-0.025,0.0488095238095238,0.0,0.0,0.0,-0.0001360544217687075,0.0005952380952380953,-0.0011621315192743762,-0.0021258503401360546,6.235827664399085e-05,0.0005215419501133787
20,0.23,-1.6,2.52,16.63,-111.25,-31.94,-9.55,-3.15,0.16,-0.71,0.01,0.67,0.24,571941,6201,W,-0.402531936,2.719061266,-0.285510685,2.642853305,-2.408673106,-2.598419689,0.0,0.0,0.0,-0.08928571428571429,0.002619047619047616,0.021904761904761906,0.0,0.0,0.0,0.001677345356747351,0.00042490639666719406,-0.0004384854717080632
21,0.23,-1.6,2.52,16.63,-111.25,-31.94,-13.3,-3.04,1.08,-0.71,0.01,0.67,0.24,571983,6243,W,-0.938430304,2.268956171,-0.739875523,2.45272913,-2.74939771,2.915884226,0.0,0.0,0.0,-0.01883720930232555,0.020465116279069766,0.0034883720930232536,0.0,0.0,0.0,0.004717144402379664,-0.006400351541373715,-0.0026218226068144943
22,0.23,-1.6,2.52,16.63,-111.25,-31.94,-14.11,-2.16,1.23,-0.71,0.01,0.67,0.24,572026,6286,W,-1.474004401,1.821322219,-1.183985289,2.307665178,-3.110919593,2.308563774,0.0,0.0,0.0,0.184,-0.25475,-0.10925,-0.00025000000000000006,0.0012151162790697673,-0.001372093023255814,-0.0046,0.006368749999999999,0.00273125
23,0.23,-1.6,2.52,16.63,-111.25,-31.94,-6.75,-12.35,-3.14,-0.71,0.01,0.67,0.24,572066,6326,W,-1.881991356,1.38037251,-1.614219262,2.364511801,2.799037003,1.799232704,-0.010000000000000002,0.048604651162790696,-0.054883720930232555,0.0,0.0,0.0,0.00023255813953488376,-0.0011303407247160626,0.0012763656030286641,-0.00016384778012684968,0.0025528541226215646,0.0030602536997885836
24,-0.2,0.49,0.16,16.63,-111.25,-31.94,-6.75,-12.35,-3.14,-0.71,0.01,0.67,0.24,572109,6369,W,-1.127405993,0.95149196,-2.028397904,3.096051578,2.417844148,1.350385454,0.0,0.0,0.0,-0.007045454545454536,0.10977272727272727,0.1315909090909091,0.00017316017316017316,-1.0822510822510833e-05,-0.0014015151515151516,0.00016012396694214855,-0.0024948347107438015,-0.002990702479338843
25,-0.2,0.49,0.16,16.63,-111.25,-31.94,-7.06,-7.52,2.65,-0.71,0.01,0.67,0.24,572153,6413,W,-0.487631946,0.541231398,-2.424575021,-2.716308913,2.029526422,0.945277709,0.007619047619047619,-0.0004761904761904766,-0.061666666666666675,0.0,0.0,0.0,-0.00018140589569160998,1.1337868480725634e-05,0.0014682539682539684,-0.0014227642276422765,0.002427409988385598,-0.0007142857142857143
26,0.12,0.47,-2.43,16.63,-111.25,-31.94,-7.06,-7.52,2.65,-0.71,0.01,0.67,0.24,572195,6455,W,-0.791763008,0.158234179,-2.800926929,-2.775584842,1.635888947,0.579945994,0.0,0.0,0.0,-0.059756097560975614,0.10195121951219512,-0.03,0.0,0.0,0.0,-0.0005866689328914193,-0.0017316789892637605,0.0016898954703832752
27,0.12,0.47,-2.43,16.63,-111.25,-31.94,-9.51,-3.34,1.42,-0.71,0.01,0.67,0.24,572236,6496,W,-1.170148352,-0.179712612,3.128462865,-2.966634672,1.240112925,0.260557819,0.0,0.0,0.0,-0.0838095238095238,0.030952380952380946,0.039285714285714285,0.0,0.0,0.0,0.0017800453514739223,0.0006916099773242631,-0.0010034013605442174
28,0.12,0.47,-2.43,16.63,-111.25,-31.94,-13.03,-2.04,3.07,-0.71,0.01,0.67,0.24,572278,6538,W,-1.551701393,-0.438120561,2.800401218,3.093071739,0.848095643,0.000936619,0.0,0.0,0.0,-0.009047619047619066,0.06,-0.002857142857142849,0.0,0.0,0.0,0.0002154195011337873,-0.0014285714285714286,6.802721088435355e-05
29,0.12,0.47,-2.43,16.63,-111.25,-31.94,-13.41,0.48,2.95,-0.71,0.01,0.67,0.24,572320,6580,W,-1.933377565,-0.535111375,2.51778148,2.873626106,0.474632271,-0.165410051,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005342624854819978,-9.291521486643436e-05,0.0003832752613240419,0.0,0.0,0.0
30,0.12,0.47,-2.43,44.5,-132.63,7.69,-13.41,0.48,2.95,-0.71,0.01,0.67,0.24,572362,6622,W,-2.322395239,-0.413571094,2.325335075,2.679423213,0.178670317,-0.146342209,-0.022439024390243905,-0.0039024390243902435,0.01609756097560976,0.0,0.0,0.0,0.0003730772499362625,0.00017648225262740432,-0.0001893714059091811,0.0,0.0,0.0
31,-0.8,0.31,-1.77,44.5,-132.63,7.69,-13.41,0.48,2.95,-0.71,0.01,0.67,0.24,572403,6663,W,-2.71839237,-0.342556972,2.253521494,2.531040332,0.45343159,0.081426942,-0.0071428571428571435,0.0033333333333333335,0.008333333333333335,0.0,0.0,0.0,0.00017006802721088437,-7.936507936507937e-05,-0.00019841269841269844,0.002195121951219512,-0.0012427409988385596,-1.742160278745659e-05
32,-1.1,0.45,-1.42,44.5,-132.63,7.69,-13.41,0.48,2.95,-0.71,0.01,0.67,0.24,572445,6705,W,-3.118131495,-0.4602385,2.237317338,2.465042115,1.489852683,0.21295081,0.0,0.0,0.0,0.0921951219512195,-0.0521951219512195,-0.0007317073170731768,0.0,0.0,0.0,-0.0024985127900059483,0.0012730517549077928,-7.733491969066026e-05
33,-1.1,0.45,-1.42,44.5,-132.63,7.69,-9.63,-1.66,2.92,-0.71,0.01,0.67,0.24,572486,6746,W,2.763435796,-0.688856894,2.146862395,2.528925756,1.134703359,0.12975326,0.0,0.0,0.0,-0.010243902439024389,0.0,-0.0039024390243902474,0.0,0.0,0.0,0.00011897679952409344,0.0012968471148126113,0.0007138607971445569
34,-1.1,0.45,-1.42,44.5,-132.63,7.69,-10.05,-1.66,2.76,-0.71,0.01,0.67,0.24,572527,6787,W,2.360517936,-0.985161166,1.946818455,2.694615379,0.518155293,-0.0840515,0.0,0.0,0.0,-0.005365853658536558,0.053170731707317065,0.025365853658536587,0.0,0.0,0.0,0.00013087447947650142,-0.0012968471148126113,-0.0006186793575252826
35,-1.1,0.45,-1.42,44.5,-132.63,7.69,-10.27,0.52,3.8,-0.71,0.01,0.67,0.24,572568,6828,W,1.956020547,-1.326221793,1.666391748,2.815372261,-0.144741138,-0.370105477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005056818181818185,0.002159090909090909,0.0013920454545454546
36,-1.1,0.45,-1.42,106.38,-105.44,22.0,-10.27,0.52,3.8,-0.71,0.01,0.67,0.24,572608,6868,W,1.548191611,-1.702686499,1.327800714,2.823609305,-0.762898535,-0.694584759,0.0,0.0,0.0,-0.02022727272727274,0.08636363636363636,0.055681818181818186,0.0008874458874458876,-0.0004274891774891775,0.0016233766233766233,0.0004597107438016532,-0.001962809917355372,-0.0012654958677685952
37,-1.1,0.45,-1.42,106.38,-105.44,22.0,-11.16,4.32,6.25,-0.71,0.01,0.67,0.24,572652,6912,W,1.134640601,-2.108845246,0.947371736,2.75626857,-1.318096438,-1.039811322,0.03904761904761905,-0.01880952380952381,0.07142857142857142,0.0,0.0,0.0,-0.0009297052154195013,0.00044784580498866215,-0.0017006802721088435,-0.000997732426303855,-0.004234693877551021,-0.0034297052154195007
38,0.54,-0.34,1.58,106.38,-105.44,22.0,-11.16,4.32,6.25,-0.71,0.01,0.67,0.24,572694,6954,W,0.711302484,-2.540531163,0.537372542,2.661193532,-1.8197693,-1.398200954,0.0,0.0,0.0,-0.0419047619047619,-0.17785714285714288,-0.14404761904761904,0.0,0.0,0.0,0.002670068027210884,0.004189342403628118,0.003820861678004535
39,0.54,-0.34,1.58,106.38,-105.44,22.0,-12.92,-3.15,0.2,-0.71,0.01,0.67,0.24,572736,6996,W,0.270767766,-2.992953256,0.109306436,2.57774218,-2.277199876,-1.765269545,0.0,0.0,0.0,0.07023809523809522,-0.0019047619047619065,0.016428571428571428,0.0,0.0,0.0,-0.001196145124716553,-0.0001077097505668934,-0.0007199546485260771
40,0.54,-0.34,1.58,106.38,-105.44,22.0,-9.97,-3.23,0.89,-0.71,0.01,0.67,0.24,572778,7038,W,-0.191968714,2.822024317,-0.32609987,2.538612296,-2.691758451,-2.138202042,0.0,0.0,0.0,0.019999999999999997,-0.006428571428571429,-0.013809523809523811,0.0,0.0,0.0,-0.00047619047619047614,0.00015306122448979594,0.00032879818594104315
41,0.54,-0.34,1.58,106.38,-105.44,22.0,-9.13,-3.5,0.31,-0.71,0.01,0.67,0.24,572820,7080,W,-0.6711388,2.344613523,-0.759863936,2.562148687,-3.055766422,-2.515805956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023823028927963692,0.0001985252410663642,2.2688598979013033e-05
42,0.54,-0.34,1.58,96.31,-120.81,34.63,-9.13,-3.5,0.31,-0.71,0.01,0.67,0.24,572861,7121,W,-1.149939399,1.867948314,-1.183112027,2.635947573,2.929283157,-2.902696403,0.0,0.0,0.0,-0.009767441860465114,0.008139534883720932,0.0009302325581395344,-0.0003119682359614294,0.00021554169030062393,-0.0008281338627339762,0.00022714981070849104,-0.0001892915089237426,-2.1633315305570567e-05
43,0.54,-0.34,1.58,96.31,-120.81,34.63,-9.55,-3.15,0.35,-0.71,0.01,0.67,0.24,572904,7164,W,-1.603369122,1.401389677,-1.586438631,2.717027879,2.721147396,2.93796368,-0.013414634146341465,0.009268292682926829,-0.03560975609756097,0.0,0.0,0.0,0.0003271861986912552,-0.0002260559190957763,0.0008685306365258774,0.00013682331945270696,2.3795359904818582e-05,-4.75907198096371e-05
44,-0.01,0.04,0.12,96.31,-120.81,34.63,-9.55,-3.15,0.35,-0.71,0.01,0.67,0.24,572945,7205,W,-2.004708508,0.948815167,-1.961436587,2.766356362,2.636754582,1.617482064,0.0,0.0,0.0,0.005609756097560986,0.0009756097560975618,-0.001951219512195121,0.0,0.0,0.0,-0.00013682331945270696,-2.3795359904818582e-05,9.51814396192742e-05
45,-0.01,0.04,0.12,96.31,-120.81,34.63,-9.32,-3.11,0.27,-0.71,0.01,0.67,0.24,572986,7246,W,-2.336134276,0.500531293,-2.305016673,2.78256925,2.669102383,-0.145176313,0.0,0.0,0.0,0.0,0.0,0.001951219512195121,0.0,0.0,0.0,4.7590719809637165e-05,4.1641879833432384e-05,3.173274651177086e-20
46,-0.01,0.04,0.12,96.31,-120.81,34.63,-9.32,-3.11,0.35,-0.71,0.01,0.67,0.24,573027,7287,W,-2.604626433,0.01546353,-2.63376755,2.783400183,2.722555372,-0.471451774,0.0,0.0,0.0,0.0019512195121951237,0.0017073170731707278,0.0019512195121951224,0.0,0.0,0.0,-4.7590719809637165e-05,-4.1641879833432384e-05,-4.759071980963713e-05
47,-0.01,0.04,0.12,96.31,-120.81,34.63,-9.24,-3.04,0.43,-0.71,0.01,0.67,0.24,573068,7328,W,-2.797845009,-0.407979136,-2.935526881,2.791375251,2.757463585,-0.755369542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.155635062611761e-05,2.385211687537271e-05,-7.155635062611807e-05
48,-0.01,0.04,0.12,102.44,-121.56,23.25,-9.24,-3.04,0.43,-0.71,0.01,0.67,0.24,573107,7367,W,-2.884482458,-0.511924523,3.078781256,2.836107408,2.780073454,-0.95847841,0.0,0.0,0.0,-0.0027906976744185865,0.0009302325581395357,-0.0027906976744186047,-3.875968992248062e-05,-4.4296788482835e-05,-5.537098560354372e-06,6.489994591671131e-05,-2.1633315305570598e-05,6.489994591671174e-05
49,-0.01,0.04,0.12,102.44,-121.56,23.25,-9.36,-3.0,0.31,-0.71,0.01,0.67,0.24,573150,7410,W,-2.987381591,-0.606733853,2.744602704,2.932468158,2.910633492,-0.922085215,-0.0016666666666666668,-0.0019047619047619048,-0.000238095238095238,0.0,0.0,0.0,3.968253968253968e-05,4.5351473922902495e-05,5.668934240362809e-06,-1.7006802721089082e-05,-4.5351473922902536e-05,-8.503401360544217e-05
50,-0.08,-0.04,0.11,102.44,-121.56,23.25,-9.36,-3.0,0.31,-0.71,0.01,0.67,0.24,573192,7452,W,3.010222694,-0.850048643,2.382939326,3.037573536,-2.587005924,-0.887677029,0.0,0.0,0.0,-0.0007142857142857414,-0.0019047619047619065,-0.0035714285714285713,0.0,0.0,0.0,-2.728998576174595e-05,-1.5556610240995514e-05,6.288561936402467e-05
51,-0.08,-0.04,0.11,102.44,-121.56,23.25,-9.39,-3.08,0.16,-0.71,0.01,0.67,0.24,573234,7494,W,2.590105205,-1.156957347,2.025117459,3.064986549,-2.033528478,-1.0354869,0.0,0.0,0.0,-0.0018604651162790714,-0.002558139534883718,-0.000930232558139535,0.0,0.0,0.0,-0.0002114399031651595,5.9491617090319026e-05,-0.00012786834582399753
52,-0.08,-0.04,0.11,102.44,-121.56,23.25,-9.47,-3.19,0.12,-0.71,0.01,0.67,0.24,573277,7537,W,2.182654489,-1.507391162,1.649713615,2.985325907,-2.09774487,-1.304200892,0.0,0.0,0.0,-0.01095238095238093,0.0,-0.006428571428571429,0.0,0.0,0.0,0.00026077097505668883,0.0,0.00015306122448979594
53,-0.08,-0.04,0.11,102.44,-121.56,23.25,-9.93,-3.19,-0.15,-0.71,0.01,0.67,0.24,573319,7579,W,1.858008308,-1.899440123,1.241748787,2.82452582,-2.321634731,-1.625462665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020155038759689927,-0.0009745293466223699,0.0004706533776301218
54,-0.08,-0.04,0.11,99.5,-125.19,19.13,-9.93,-3.19,-0.15,-0.71,0.01,0.67,0.24,573361,7621,W,1.603022275,-2.321231203,0.806780475,2.607651258,-2.600426018,-1.975321927,0.0,0.0,0.0,-0.08465116279069769,-0.04093023255813954,0.019767441860465116,0.00012979989183342349,-0.0014277988101676583,0.0031855056787452674,0.001968631692806923,0.0009518658734451055,-0.00045970795024337477
55,-0.08,-0.04,0.11,99.5,-125.19,19.13,-13.57,-4.95,0.7,-0.71,0.01,0.67,0.24,573404,7664,W,1.390965038,-2.762560517,0.353386676,2.349908062,-2.905866327,-2.349912359,0.005581395348837209,-0.061395348837209304,0.1369767441860465,0.0,0.0,0.0,-0.00012979989183342349,0.0014277988101676583,-0.0031855056787452674,0.0027396483267158253,-0.005779920589903574,-0.0036755530346001134
56,0.16,-2.68,6.0,99.5,-125.19,19.13,-13.57,-4.95,0.7,-0.71,0.01,0.67,0.24,573447,7707,W,1.190805105,3.067888213,-0.110127572,2.060923544,3.056903066,-2.744373551,0.0,0.0,0.0,0.1178048780487805,-0.24853658536585368,-0.15804878048780488,0.0,0.0,0.0,-0.0016770063171014985,0.00981912693691397,0.006816520778448204
57,0.16,-2.68,6.0,99.5,-125.19,19.13,-8.74,-15.14,-5.78,-0.71,0.01,0.67,0.24,573488,7748,W,0.980749282,2.610595314,-0.576063714,1.739442643,2.72869411,3.132268049,0.0,0.0,0.0,0.04904761904761906,0.15404761904761907,0.12142857142857144,0.0,0.0,0.0,0.0005952380952380947,-0.0034693877551020416,-0.0037188208616780053
58,0.16,-2.68,6.0,99.5,-125.19,19.13,-6.68,-8.67,-0.68,-0.71,0.01,0.67,0.24,573530,7790,W,0.753822721,2.154925737,-1.037333707,1.315255685,2.398871962,2.723065644,0.0,0.0,0.0,0.07404761904761904,0.008333333333333325,-0.03476190476190476,0.0,0.0,0.0,-0.0029713718820861676,0.0013968253968253974,0.0008990929705215419
59,0.16,-2.68,6.0,99.5,-125.19,19.13,-3.57,-8.32,-2.14,-0.71,0.01,0.67,0.24,573572,7832,W,0.516384032,1.700599075,-1.492477555,-1.707518509,2.073083231,2.319317728,0.0,0.0,0.0,-0.050749999999999997,0.06700000000000002,0.0030000000000000027,0.0004011627906976744,0.0023139534883720933,-0.005511627906976744,0.00126875,-0.0016750000000000005,-7.500000000000006e-05
60,0.16,-2.68,6.0,99.5,-125.19,19.13,-5.6,-5.64,-2.02,-0.71,0.01,0.67,0.24,573612,7872,W,0.290722496,1.241523867,-1.944517073,-2.184423214,1.751912961,1.932997725,0.016046511627906976,0.09255813953488373,-0.22046511627906978,0.0,0.0,0.0,-0.0005716999300874567,-0.002260285718054585,0.005087390679206954,0.0,0.0,0.0
61,0.85,1.3,-3.48,99.5,-125.19,19.13,-5.6,-5.64,-2.02,-0.71,0.01,0.67,0.24,573655,7915,W,0.117228341,0.772030756,-2.395536805,-2.517149753,1.425787386,1.562322679,-0.008536585365853657,-0.0046341463414634135,-0.0017073170731707278,0.0,0.0,0.0,0.00020820939916716238,0.00011302795954788814,4.1641879833432384e-05,-0.005449137418203451,0.004033313503866745,0.0017311124330755504
62,0.5,1.11,-3.55,99.5,-125.19,19.13,-5.6,-5.64,-2.02,-0.71,0.01,0.67,0.24,573696,7956,W,0.081497117,0.28724797,-2.847136146,-2.817804641,1.078055535,1.196329127,0.0,0.0,0.0,-0.22341463414634147,0.16536585365853657,0.07097560975609757,0.0,0.0,0.0,0.005746579417013683,-0.0036466389054134437,-0.0013682331945270674
63,0.5,1.11,-3.55,99.5,-125.19,19.13,-14.76,1.14,0.89,-0.71,0.01,0.67,0.24,573737,7997,W,0.32313296,-0.216768131,2.981691936,-3.089137279,0.689196607,0.831587216,0.0,0.0,0.0,0.012195121951219513,0.01585365853658537,0.014878048780487804,0.0,0.0,0.0,-0.00022775558766040667,-0.00040990340216991037,0.001414124245772074
64,0.5,1.11,-3.55,99.5,-125.19,19.13,-14.26,1.79,1.5,-0.71,0.01,0.67,0.24,573778,8038,W,0.606323951,-0.741466513,2.520855915,2.959718739,0.238423854,0.465245267,0.0,0.0,0.0,0.0028571428571428385,-0.0009523809523809532,0.07285714285714284,0.0,0.0,0.0,0.0008171986743415327,0.0005110762253619396,-0.0015942787371358794
65,0.5,1.11,-3.55,99.5,-125.19,19.13,-14.14,1.75,4.56,-0.71,0.01,0.67,0.24,573820,8080,W,0.587941244,-1.273417195,2.057015798,2.773525014,-0.288190731,0.094292159,0.0,0.0,0.0,0.03717948717948721,0.02051282051282051,0.005897435897435908,0.0,0.0,0.0,-4.097671360641051e-05,-4.296439001269045e-05,-0.0007415561977279334
66,0.5,1.11,-3.55,99.5,-125.19,19.13,-12.69,2.55,4.79,-0.71,0.01,0.67,0.24,573859,8119,W,0.382694931,-1.789555548,1.601939145,2.65081736,-0.862563684,-0.27257853,0.0,0.0,0.0,0.0355813953488372,0.018837209302325582,-0.023023255813953494,0.0003875968992248062,-0.0012790697674418606,0.0026633444075304536,-0.0008274743104380744,-0.0004380746349378042,0.0005354245538128719
67,0.5,1.11,-3.55,99.5,-125.19,19.13,-11.16,3.36,3.8,-0.71,0.01,0.67,0.24,573902,8162,W,0.097082612,-2.279471503,1.16248785,2.600245305,-1.421867162,-0.622679496,0.016666666666666666,-0.055,0.11452380952380951,0.0,0.0,0.0,-0.0003968253968253968,0.0013095238095238095,-0.0027267573696145124,-0.00016071428571428546,-0.002625,0.0016607142857142858
68,1.2,-1.2,1.26,99.5,-125.19,19.13,-11.16,3.36,3.8,-0.71,0.01,0.67,0.24,573944,8204,W,-0.2236307,-2.74941451,0.734591624,2.600427472,-1.927004474,-0.948653524,0.0,0.0,0.0,-0.0067499999999999895,-0.11025,0.06975,0.0,0.0,0.0,-0.0006705357142857145,0.0002979166666666668,-0.006029464285714286
69,1.2,-1.2,1.26,99.5,-125.19,19.13,-11.43,-1.05,6.59,-0.71,0.01,0.67,0.24,573984,8244,W,-0.557616517,3.062415409,0.295457815,2.601421198,-2.368840473,-1.239120189,0.0,0.0,0.0,-0.03357142857142857,-0.09833333333333333,-0.17142857142857143,0.0,0.0,0.0,0.0018213870914219345,0.0037175764614789004,0.0056844201095072175
